"state_name","current_year","current_quarter","current_tx","previous_tx","growth","growth_percent"
"himachal-pradesh",2024,3,"49737549","52583801","-2846252","-5.41"
"meghalaya",2020,3,"597579","635395","-37816","-5.95"
"nagaland",2022,3,"1894113","2031329","-137216","-6.75"
"odisha",2020,2,"50028576","53682307","-3653731","-6.81"
"karnataka",2022,3,"1189761328","1277448960","-87687632","-6.86"
"goa",2022,3,"13188687","14216054","-1027367","-7.23"
"punjab",2020,2,"14081294","15217784","-1136490","-7.47"
"ladakh",2019,4,"84706","92396","-7690","-8.32"
"tripura",2019,2,"532558","580926","-48368","-8.33"
"tripura",2021,1,"1511423","1651890","-140467","-8.50"
"ladakh",2022,4,"1083372","1190858","-107486","-9.03"
"meghalaya",2022,4,"3932448","4359165","-426717","-9.79"
"goa",2021,2,"4710135","5331549","-621414","-11.66"
"west-bengal",2020,2,"57676797","66250381","-8573584","-12.94"
"ladakh",2023,4,"3150218","3621366","-471148","-13.01"
"uttarakhand",2019,2,"4813275","5546001","-732726","-13.21"
"lakshadweep",2022,3,"15241","17569","-2328","-13.25"
"odisha",2019,2,"29512024","34031942","-4519918","-13.28"
"puducherry",2020,2,"1033383","1207921","-174538","-14.45"
"ladakh",2021,1,"275415","332134","-56719","-17.08"
"ladakh",2024,4,"5711284","6913885","-1202601","-17.39"
"odisha",2020,1,"53682307","64995633","-11313326","-17.41"
"madhya-pradesh",2023,1,"734566970","898828268","-164261298","-18.28"
"puducherry",2022,3,"7042727","8643687","-1600960","-18.52"
"delhi",2020,2,"66042018","81747604","-15705586","-19.21"
"lakshadweep",2018,3,"1703","2132","-429","-20.12"
"delhi",2023,1,"409753103","515203457","-105450354","-20.47"
"telangana",2023,1,"1440331458","1819506832","-379175374","-20.84"
"goa",2020,2,"1482092","1881237","-399145","-21.22"
"karnataka",2020,2,"213221712","271033890","-57812178","-21.33"
"lakshadweep",2021,1,"9085","11650","-2565","-22.02"
"tamil-nadu",2020,2,"51870110","66953473","-15083363","-22.53"
"jharkhand",2018,4,"6284043","8122621","-1838578","-22.64"
"maharashtra",2020,2,"184790761","238944081","-54153320","-22.66"
"telangana",2020,2,"152055143","199409525","-47354382","-23.75"
"dadra-&-nagar-haveli-&-daman-&-diu",2019,2,"489656","661814","-172158","-26.01"
"odisha",2018,4,"21142798","30052155","-8909357","-29.65"
"sikkim",2020,1,"528118","767070","-238952","-31.15"
"west-bengal",2020,1,"66250381","96805838","-30555457","-31.56"
"west-bengal",2018,4,"36513548","53705416","-17191868","-32.01"
"chandigarh",2020,2,"1528010","2262511","-734501","-32.46"
"jammu-&-kashmir",2019,2,"2296355","3584987","-1288632","-35.95"
"chandigarh",2023,1,"9815605","17904840","-8089235","-45.18"
"manipur",2023,3,"865478","1606271","-740793","-46.12"
"manipur",2023,1,"3258383","6428670","-3170287","-49.31"
"manipur",2023,2,"1606271","3258383","-1652112","-50.70"
"jammu-&-kashmir",2019,3,"1116526","2296355","-1179829","-51.38"
"jammu-&-kashmir",2019,4,"489928","1116526","-626598","-56.12"
NULL,2020,3,"2033056073",NULL,NULL,NULL
"haryana",2018,1,"4480770",NULL,NULL,NULL
NULL,2020,2,"1448611440",NULL,NULL,NULL
"punjab",2018,1,"1870433",NULL,NULL,NULL
NULL,2024,3,"25821015384",NULL,NULL,NULL
"jharkhand",2018,1,"2178921",NULL,NULL,NULL
NULL,2019,4,"1460445524",NULL,NULL,NULL
"dadra-&-nagar-haveli-&-daman-&-diu",2018,1,"148549",NULL,NULL,NULL
"andaman-&-nicobar-islands",2018,1,"6658",NULL,NULL,NULL
NULL,2023,2,"15109626850",NULL,NULL,NULL
"tripura",2018,1,"148157",NULL,NULL,NULL
"telangana",2018,1,"8522766",NULL,NULL,NULL
NULL,2019,2,"815383203",NULL,NULL,NULL
NULL,2021,4,"6625756346",NULL,NULL,NULL
NULL,2019,1,"708996141",NULL,NULL,NULL
"odisha",2018,1,"5809821",NULL,NULL,NULL
NULL,2023,4,"19015339873",NULL,NULL,NULL
"himachal-pradesh",2018,1,"481918",NULL,NULL,NULL
NULL,2023,3,"17041796123",NULL,NULL,NULL
"manipur",2018,1,"84069",NULL,NULL,NULL
NULL,2024,4,"28219255839",NULL,NULL,NULL
NULL,2022,2,"9131611338",NULL,NULL,NULL
NULL,2019,3,"1095011649",NULL,NULL,NULL
"chhattisgarh",2018,1,"1891514",NULL,NULL,NULL
"tamil-nadu",2018,1,"6726622",NULL,NULL,NULL
"rajasthan",2018,1,"7591690",NULL,NULL,NULL
"madhya-pradesh",2018,1,"8025395",NULL,NULL,NULL
"bihar",2018,1,"5824302",NULL,NULL,NULL
"gujarat",2018,1,"5948775",NULL,NULL,NULL
"ladakh",2018,1,"6089",NULL,NULL,NULL
NULL,2022,4,"12031235819",NULL,NULL,NULL
NULL,2018,1,"134426176",NULL,NULL,NULL
"mizoram",2018,1,"18561",NULL,NULL,NULL
"assam",2018,1,"1056881",NULL,NULL,NULL
"sikkim",2018,1,"44078",NULL,NULL,NULL
"maharashtra",2018,1,"16387034",NULL,NULL,NULL
NULL,2024,1,"21237137569",NULL,NULL,NULL
NULL,2021,1,"3457595131",NULL,NULL,NULL
NULL,2018,2,"187366240",NULL,NULL,NULL
"delhi",2018,1,"7122754",NULL,NULL,NULL
"uttarakhand",2018,1,"1246685",NULL,NULL,NULL
"kerala",2018,1,"1771380",NULL,NULL,NULL
NULL,2022,1,"7593204069",NULL,NULL,NULL
"chandigarh",2018,1,"381895",NULL,NULL,NULL
"goa",2018,1,"160897",NULL,NULL,NULL
"meghalaya",2018,1,"49571",NULL,NULL,NULL
NULL,2020,4,"2869285838",NULL,NULL,NULL
"nagaland",2018,1,"42845",NULL,NULL,NULL
NULL,2020,1,"1623040112",NULL,NULL,NULL
"andhra-pradesh",2018,1,"9039585",NULL,NULL,NULL
"arunachal-pradesh",2018,1,"45497",NULL,NULL,NULL
NULL,2021,3,"5263754525",NULL,NULL,NULL
"karnataka",2018,1,"12016899",NULL,NULL,NULL
NULL,2023,1,"13090574860",NULL,NULL,NULL
"west-bengal",2018,1,"11710225",NULL,NULL,NULL
"lakshadweep",2018,1,"778",NULL,NULL,NULL
NULL,2018,3,"341301189",NULL,NULL,NULL
NULL,2024,2,"24026205526",NULL,NULL,NULL
NULL,2022,3,"10545375100",NULL,NULL,NULL
"jammu-&-kashmir",2018,1,"941568",NULL,NULL,NULL
"uttar-pradesh",2018,1,"12537805",NULL,NULL,NULL
"puducherry",2018,1,"104212",NULL,NULL,NULL
NULL,2021,2,"3941383294",NULL,NULL,NULL
NULL,2018,4,"417113340",NULL,NULL,NULL
